;participant_id;goal_id;goal;gcq_1;gcq_9;gcq_10;gcq_14;gcq_19;gcq_21;gcq_29;gcq_34;gcq_36;gcq_38;gcq_45;gcq_49;gcq_51;gcq_60;gcq_62;gcq_67;gcq_73;gcq_74;gcq_78;gcq_83;gcq_87;gcq_90;gcq_95;gcq_99;gcq_105;gcq_109;gcq_112;gcq_116;gcq_122;gcq_126;gcq_129;gcq_132
921;1615;pg_921;Ich möchte Freund:innen und Erfahrungen für das Leben finden/sammeln.;0.3;0.16;0.87;0.76;0.57;0.29;1;0.92;0.05;0.53;0.5;0.75;0.6;0.69;0.59;0.61;0.34;0.44;0.5;0.83;0.55;0.88;0.75;0.92;1;0.25;0.89;0.58;0.43;0.5;0.91;0.22
922;1615;pg_922;Ich möchte mit meinen Leistungen zufrieden sein.;0.3;0.5;0.87;0.76;0.87;0.29;0.85;0.91;0.06;0.61;0.84;0.58;0.56;0.7;0.75;0.57;0.5;0.44;0.71;0.83;0.47;0.88;0.71;0.91;1;0.24;0.8;0.77;0.7;0.59;0.91;0.22
930;1619;pg_930;Das Erste Ziel ist, viel über das Menschliche Gehirn zu lernen;1;0.5;0.75;0.75;0.74;0.75;1;1;0.25;1;0.76;0.81;1;0.77;0.22;0.76;0.77;0.75;1;0.5;0.5;1;0.5;0.76;0.75;0.5;0.49;0.5;0.5;0.51;0.5;0
931;1619;pg_931;Ich möchte gerne gute Noten erhalten;0.75;0.5;0.75;1;1;0.5;1;0.5;0.25;1;1;0.76;0.5;1;0.24;0.76;0.77;0.77;0.25;0.5;0.5;0.75;0.5;0.76;0.76;0.5;0.5;0.76;0.5;0.5;0.5;0
932;1619;pg_932;ich möchte mein Studium in der vorgesehenen Zeit abschließen;1;1;0.75;1;1;1;1;0.75;0.75;1;1;0.76;0.51;0.76;0.26;0.75;0.76;0.75;0.25;0.5;0.49;0.76;0.5;0.75;0.75;0.5;0.5;0.76;0.51;0.5;0.5;0
943;1662;pg_943;Ich möchte eine neue Sprache lernen.;0.81;0.5;0.88;0.48;0.44;0.95;1;0.41;0;0.7;0.88;1;1;0.55;0.38;1;0.99;0.96;0.43;0.02;0.68;0.95;0.13;0.97;0.51;0;0.55;0.51;0.29;0;0.39;0.51
945;1662;pg_945;Ich möchte mir möglichst wenig Druck bei Klasusuren oder Ähnlichem machen.;0.12;0.01;0.97;0.8;1;0.6;0;0.62;0;1;0.82;0.47;0.96;0.39;0.12;0.96;0.75;0.75;0.97;0.02;0.57;0.88;0.93;1;1;0;0.67;1;0.8;1;0.88;0.64
946;1662;pg_946;Ich möchte viel neues ausprobieren.;0;0;0.82;0.7;0.82;0.52;0.74;0.77;0;1;0.85;0.55;0.96;0.92;0.98;0.95;0.82;0.86;0.54;0.78;0.75;0.91;0.58;0.71;0.65;0.69;0.75;0.43;0.14;0.04;1;0.5
949;1665;pg_949;Ich möchte ein erfolgreiches Semester im Ausland zu haben. ;1;0.75;1;0.5;1;0.5;1;0.76;0.63;0.75;0.89;0.73;0.75;0.63;0.25;0.56;0.75;0.74;0.25;0;0.53;0.75;0.54;0.93;0.9;0;0.59;0.75;0.5;0.5;0.98;0.24
950;1665;pg_950;Ich möchte mein Studium schaffen;1;1;0.75;1;0.75;0.5;1;0.5;0.58;0.61;1;0.5;0.75;0.62;0.5;0.75;0.75;0.72;0.75;0;0.54;0.75;0.54;0.93;0.99;0.25;0.5;1;1;0.94;0.74;0.24
